Library Component Count : 136

Name                Description
----------------------------------------------------------------------------------------------------

0015244449          CONN HEADER 4POS .200 VERT
0471554001          CONN SATA HDR 7POS PCB VERT
0475531001          CONN CARD HOLDER SIM 6POS SMD
0475890001          CONN RCPT MICRO USB AB R/A SMD
0532530470          CONN HEADER 4POS 2MM VERT TIN
0532610471          CONN HEADER 4POS 1.25MM R/A SMD
10018783-10010TLF   CONN PCI EXPRESS 36POS VERT PCB
1734351-1           CONN D-SUB PLUG R/A 9POS GOLD/FL
2-406549-1          CONN MOD JACK 8POS R/A G-Y PCB
2N7002BKW,115       MOSFET N-CH 60V 310MA SOT323
3.5MM _JACK         
30306-6002HB        CONN HEADER 6POS DL STR GOLD
3D_iMX6_REX_MODULE_V1I1Printed Circuit Board
47151-0001          CONN RCPT 19POS HDMI RT ANG SMD
5103308-5           CONN HEADER LOPRO STR 20POS GOLD
553-0121F           LED 2HI 3MM GREEN OVER RED PCMNT
5787617-1           CONN RCPT R/A 4OVER4POS GOLD PCB
68000-103HLF        BERGSTIK II .100" SR STRAIGHT
68001-202HLF        BERGSTIK II .100" SR STRAIGHT
76384-302LF         CONN HEADER 2POS .100" STR GOLD
76384-303LF         CONN HEADER 3POS .100" STR GOLD
76384-304LF         CONN HEADER 4POS .100" STR GOLD
7E50-C016-00        CF CARD EJECT/LATCHING RETAINER
ABM7-24.000MHZ-D-2-Y-TCRYSTAL 24.0000MHZ 18PF SMD
ABS06-32.768KHZ-9-1-TCRYSTAL 32.768 KHZ 9.0 PF SMD
ACM2012-900-2P-T002 CHOKE COMM MODE 90 OHM .4A SMD
ASFLMB-12.288MHZ-LR-TOSC MEMS 12.288 MHZ SMD
B560C-13-F          DIODE SCHOTTKY 60V 5A SMC
BA2032              HOLDER COIN CELL CR2032 EJECT
BAT54C-7-F          DIODE SCHOTTKY DUAL 30V SOT23-3
BAT54HT1G           DIODE SCHOTTKY 30V 0.2A SOD323
BGX50AE6327         DIODE SWITCHING 50V SOT-143
BLA2ABB221SN4D      FERRITE ARRAY 220 OHM 0804 SMD
BLM15AX601SN1D      FERRITE CHIP 600 OHM 0402 420mA
BLM18SG221TN1D      FERRITE CHIP 220 OHM 2500MA 0603
BR24L02FVM-WTR      IC EEPROM 2KBIT 400KHZ 8MSOP
BZA956A,115         TVS ZENER QUAD 5.6V SOT665
C1005C0G1H101J      CAP CER 100PF 50V 5% NP0 0402
C1005C0G1H180J      CAP CER 18PF 50V C0G 5% 0402
C1005X5R1A225K      CAP CER 2.2UF 10V 10% X5R 0402
C1005X5R1A475M      CAP CER 4.7UF 10V 20% X5R 0402
C1005X5R1C105K      CAP CER 1.0UF 16V X5R 0402
C1005X5R1C474K      CAP CER .47UF 16V X5R 0402
C1005X5R1E224M      CAP CER .22UF 25V X5R 20% 0402
C1005X5R1H104K      CAP CER .10UF 50V X5R 10% 0402
C1005X7R1C103K      CAP CER 10000PF 16V X7R 10% 0402
C1005X7R1H103K      CAP CER 10000PF 50V 10% X7R 0402
C1206X102KGRACTU    CAP CER 1000PF 2000V X7R 1206 FT
C1608X5R0J106M      CAP CER 10UF 6.3V X5R 20% 0603
